ticker,isin,name,country,exchange
AAPL,US0378331005,Apple Inc,UNITED STATES,NASDAQ GS
MSFT,US5949181045,Microsoft Corp,UNITED STATES,NASDAQ GS
GOOGL,US02079K3059,Alphabet Inc,UNITED STATES,NASDAQ GS
AMZN,US0231351067,Amazon.com Inc,UNITED STATES,NASDAQ GS
FB,US30303M1027,Meta Platforms Inc,UNITED STATES,NASDAQ GS
700,KYG875721634,Tencent Holdings Ltd,CHINA,Hong Kong
BABA,US01609W1027,Alibaba Group Holding Ltd,CHINA,New York
NFLX,US64110L1061,Netflix Inc,UNITED STATES,NASDAQ GS
SE,US81141R1005,Sea Ltd,SINGAPORE,New York
DBS,SG1L01001701,DBS Group Holdings Ltd,SINGAPORE,Singapore
SIA,SG1V61937297,Singapore Airlines Ltd,SINGAPORE,Singapore
ST,SG1T75931496,Singapore Telecommunications L,SINGAPORE,Singapore
